FECHA_CORTE;ANIO;COD_PRED;AREA_TERRENO;AREA_CONSTRUIDA;AREA_COMUN;PORCENTAJE_PROPIEDAD;BASE_IMPONIBLE;ESTADO_PREDIO;USO_PREDIO;CONDICION_PROPIEDAD;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO
20240920;2024;de2145acb55ad9ff44d9c151d4b7209e439b75127976acc33ceaebb38dd748ca;5.69;78.11;0;12.5;54,815.24;TERMINADO                ;COMERCIO;CONDOMINIO;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;42c6797ce06a442d0995cc0fb46a83a24fea0feeb2cc51c5599f3e143f55cf0a;7.48;9.64;0;100;6,662.13;TERMINADO                ;COMERCIO;POSEEDOR O TENEDOR       ;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;48317ff167ce8b91ec918acc6d58dd6f4d69e1da511a94e1b5cea46108c372de;3.88;3.88;0;100;6,292.22;TERMINADO                ;COMERCIO;SOCIEDAD CONYUGAL;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;351188846ede84c7f3b6ef21992f846a6dbdbf373cd306e40259ebd729d5ae00;46.8;71.4;0;100;42,953.65;TERMINADO                ;COMERCIO;PROPIETARIO UNICO        ;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;ffb8f1feea9f3d1394128f7a89fdeba36ded6b9a5c190c6a7ede2211d9c3dc83;15.8;60.01;0;100;51,783.61;TERMINADO                ;COMERCIO;SOCIEDAD CONYUGAL;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;1563b8c2d4cde282c6f442b921d812f81d73b209704de35fd04245d140e4f9e9;37.45;67.56;0;100;76,134.94;TERMINADO                ;COMERCIO;PROPIETARIO UNICO        ;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;7e159f118bb33e5b21a542e8c0a813fbe795d89a8b6649c5f453b4a3759618cb;23.9;145.01;0;100;154,662.29;TERMINADO                ;COMERCIO;PROPIETARIO UNICO        ;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;b7c495a4cad98347684cc2b44e9a73d33c0853b66dab1852cc58b63e9446574b;4.14;4.14;0;50;5,668.78;TERMINADO                ;COMERCIO;CONDOMINIO;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;b780063f8ba27e7b06c6abb58a127066eb0008949b42b5c1a28fbaa096df7e7c;20.52;72.05;0;100;56,532.67;TERMINADO                ;COMERCIO;PROPIETARIO UNICO        ;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;66a2d5c9aa3755a3c23128f08ee3adfb8c3dfa7e703429664c54df763013b13a;116;225.79;0;100;159,420.87;TERMINADO                ;COMERCIO;PROPIETARIO UNICO        ;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;f97d6c664d5830230f8300442993e2bcb517d67029002b855250e9e9cd0e5024;247.94;383.76;0;33.33;269,745.61;TERMINADO                ;COMERCIO;CONDOMINIO;LIMA;LIMA;JESUS MARIA;150113
